             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          17352210      a100    check skarumu1 CG    4:00:30      1 gpu17
          17352178      a100    check skarumu1 CG    3:06:24      1 gpu17
          17316868      a100 interact   jling2 CG 3-00:00:23      1 gpu16
          17347611      a100   sev_7B yzhao229 CG    3:40:05      1 gpu02
          17449672      a100 Jupyter_  cchou21 PD       0:00      1 (Resources)
          17454145      a100     dino kgarci18 PD       0:00      2 (Priority)
          17455342      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455341      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455340      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455339      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455338      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455337      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455336      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455335      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455334      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455333      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455332      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17455331      a100 type_sha yzhao229 PD       0:00      1 (MaxGRESPerAccount)
          17443542      a100 ContextS    bhui2  R   18:48:10      1 gpu18
          17443543      a100 ContextS    bhui2  R   18:48:10      1 gpu13
          17443248      a100 ContextS    bhui2  R   18:52:42      1 gpu08
          17457875      a100 ContextS    bhui2  R   10:52:26      1 gpu14
          17384735      a100 OOD_Jupy skarumu1  R 1-19:08:23      1 gpu09
          17452890      a100 Jupyter_ lsanto13  R    2:32:39      1 gpu04
          17455775      a100   python    wlui3  R   10:48:55      1 gpu11
          17415663      a100     bash    zhe29  R 1-08:30:44      1 gpu05
          17454542      a100 Jupyter_ mbianch1  R    2:32:39      1 gpu10
          17428995      a100 interact tlippin1  R   22:44:25      1 gpu15
          17371294      a100 OOD_VSCo    cbao5  R 1-23:14:23      1 gpu07
          17452032      a100 train_di   lchu11  R   15:57:43      1 gpu12
          17449380      a100 train_di   lchu11  R   17:34:19      1 gpu07
          17449373      a100 train_pi   lchu11  R   17:34:49      1 gpu07
          17448376      a100 train_di   lchu11  R   17:46:32      1 gpu06
          17428579      a100   c3REAN bcarpen6  R   22:52:36      1 gpu14
          17454409      a100 train_ex  afeng11  R   13:45:47      1 gpu06
          17454357      a100 train_ex  afeng11  R   14:02:53      1 gpu14
          17431687      a100   FCFsin  sqian10  R   21:57:38      1 gpu08
          17431671      a100      FCF  sqian10  R   21:58:09      1 gpu08
          17424469      a100 pretrain    wqin6  R 1-00:02:03      1 gpu03
          17455329      a100 type_sha yzhao229  R      12:54      1 gpu09
          17455328      a100 type_sha yzhao229  R    3:25:46      1 gpu06
          17489369      a100 cryospar ext-csgb  R      20:24      1 gpu15
          17489769      a100 cryospar ext-csgb  R       7:53      1 gpu15
          17489386      a100 cryospar ext-csgb  R      20:24      1 gpu15
          17136064    bigmem SLURM_em  anande1 PD       0:00      1 (Job's QOS not permitted to use this partition (bigmem allows qos_bigmem,extended not normal))
          17460331    bigmem interact kvaddad1  R   10:11:12      1 bigmem21
          17454008    bigmem    b11LL meladly1  R   14:36:36      1 bigmem19
          17454009    bigmem    b12LL meladly1  R   14:36:36      1 bigmem19
          17454010    bigmem    b13LL meladly1  R   14:36:36      1 bigmem18
          17454011    bigmem    b14LL meladly1  R   14:36:36      1 bigmem19
          17453999    bigmem    b04LL meladly1  R   14:37:06      1 bigmem18
          17454000    bigmem    b05LL meladly1  R   14:37:06      1 bigmem18
          17454001    bigmem    b06LL meladly1  R   14:37:06      1 bigmem18
          17454002    bigmem    b07LL meladly1  R   14:37:06      1 bigmem18
          17454003    bigmem    b08LL meladly1  R   14:37:06      1 bigmem19
          17454004    bigmem    b09LL meladly1  R   14:37:06      1 bigmem18
